16,17,17,18,18,18,18,18,16,13,11,10,11,10,9,8,13,13,13,13,13,13,13,13
15,18,20,22,23,23,23,23,22,22,20,18,17,16,15,15,14,14,13,13,13,13,14,16
15,15,17,19,21,22,22,23,22,22,21,19,18,17,16,14,13,12,11,10,8,8,8,8
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7
9,12,14,16,16,17,17,17,17,17,15,13,10,10,9,8,11,11,11,11,11,11,11,13
18,18,19,20,21,22,21,20,19,18,17,16,14,13,11,10,10,10,10,10,10,11,12,14
18,20,22,24,24,25,25,25,24,23,21,19,17,17,16,16,16,15,15,15,15,15,14,14
9,11,13,15,15,17,17,17,16,16,15,14,13,11,10,8,8,8,8,8,8,8,8,8
11,12,13,14,14,14,14,14,15,15,14,13,11,10,8,6,5,5,5,4,3,3,5,7
22,24,27,28,26,25,25,24,23,22,21,19,18,17,16,16,16,16,16,16,16,16,18,19
19,21,21,26,27,28,29,29,29,28,26,24,21,21,20,20,17,17,17,15,15,15,16,18
10,11,16,17,18,18,18,18,17,16,15,13,11,10,9,8,8,8,8,7,7,7,8,9
13,15,16,18,18,19,19,19,19,19,17,13,12,10,9,7,7,7,7,7,7,7,9,11
12,13,14,15,16,17,15,17,17,16,14,13,12,11,10,10,9,9,9,8,7,7,8,10
13,15,16,18,18,18,18,19,19,19,17,15,12,11,10,9,9,9,9,9,9,9,9,10
9,11,13,15,16,18,19,19,19,19,18,17,16,14,13,11,11,11,10,10,9,9,9,9
13,14,15,16,17,17,17,17,17,17,15,14,13,12,11,10,10,10,10,7,7,6,8,10
14,17,19,22,22,23,23,23,23,23,21,19,17,16,15,14,14,14,14,12,12,12,12,13
19,17,20,22,23,23,23,23,23,23,21,18,16,15,14,13,13,13,13,13,13,13,13,16
16,20,22,23,24,25,26,26,27,27,25,22,20,19,17,16,15,15,14,14,14,14,17,20
24,28,29,29,29,28,27,26,24,22,21,20,20,19,18,17,17,17,17,17,17,19,21,23
23,24,25,27,28,28,28,28,28,28,26,23,20,19,18,17,19,19,19,19,19,19,19,20
23,26,28,31,31,32,32,32,31,31,29,28,26,25,24,23,21,20,19,19,20,20,22,23
12,13,15,16,17,17,31,30,29,28,27,25,24,23,22,21,18,18,18,13,13,13,13,12
12,13,14,15,16,18,19,19,19,19,18,17,17,15,14,13,12,11,11,11,11,11,11,11
18,18,19,21,22,14,16,16,15,14,14,14,13,13,12,12,18,18,18,18,18,18,18,18
22,24,26,22,23,24,24,25,26,26,24,21,19.18,17,16,18,18,18,18,18,18,18,20
22,23,24,26,26,27,27,25,22,20,19,18,17,16,16,16,15,13,12,12,12,12,13,15
